Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
948204,REST APIs with Flask and Python,5.0,3.8,8.799999999999999,Udemy ,Not Available,Not Available,3,3
948440,PSD to Responsive HTML5: Beginner to Advanced,4.551470588235294,4.097058823529412,8.648529411764706,Udemy ,Not Available,Not Available,68,68
949194,Learn to Code with Ruby,4.0625,4.3875,8.45,Udemy ,Not Available,Not Available,8,8
949282,Learn Angular 2 from Beginner to Advanced,4.257281553398058,4.063883495145631,8.32116504854369,Udemy ,Not Available,Not Available,103,103
949594,"Become an SQL Developer:  Learn (SSRS, SSIS, SSAS,T-SQL,DW)",3.5,3.0,6.5,Udemy ,Not Available,Not Available,1,1
949676,AWS Serverless APIs & Apps - A Complete Introduction,4.333333333333333,4.38,8.713333333333333,Udemy ,Not Available,Not Available,3,3
949718,"HP UFT Online Training, HP QTP Online Course, free videos",4.25,4.086153846153846,8.336153846153847,Udemy ,Not Available,Not Available,26,26
949766,The Complete Python 3 Course: Go from Beginner to Advanced!,4.318295739348371,3.911679197994987,8.229974937343359,Udemy ,Not Available,Not Available,399,399
95014,The Complete Python Masterclass: Learn Python From Scratch,4.0,1.88,5.88,Udemy ,Not Available,Not Available,1,1
950758,Learn SSRS SQL Reporting & Business Intelligence Essentials,4.5,3.7881818181818185,8.288181818181819,Udemy ,Not Available,Not Available,22,22
951060,Backbone Tutorial: Learn Backbonejs from Scratch,5.0,3.5500000000000003,8.55,Udemy ,Not Available,Not Available,2,2
951212,The Full JavaScript & ES6 Tutorial - (including ES7 & React),4.0,4.4,8.4,Udemy ,Not Available,Not Available,1,1
951252,The Complete WordPress Theme Development Course,3.8333333333333335,3.9466666666666654,7.78,Udemy ,Not Available,Not Available,3,3
951300,The Comprehensive Guide to Scene Kit - 3D iOS Development,3.8333333333333335,3.975555555555556,7.808888888888889,Udemy ,Not Available,Not Available,9,9
951618,The Complete Android N Developer Course,4.351219512195122,4.006292682926829,8.35751219512195,Udemy ,Not Available,Not Available,410,410
951684,Xamarin Forms: Build Native Cross-platform Apps with C#,4.416442048517521,3.932075471698113,8.348517520215633,Udemy ,Not Available,Not Available,371,371
952148,Awesome Programming Bundle: Learn Rails And Ruby Programming,4.75,3.686666666666666,8.436666666666666,Udemy ,Not Available,Not Available,6,6
952156,Build an Ecommerce Website using Zen Cart,4.5,3.3466666666666662,7.846666666666667,Udemy ,Not Available,Not Available,3,3
952366,C# Developers: Double Your Coding Speed with Visual Studio ,5.0,4.02,9.02,Udemy ,Not Available,Not Available,1,1
952388,Functional Programming For Beginners With JavaScript,4.4,4.16,8.559999999999999,Udemy ,Not Available,Not Available,5,5
952410,The Complete Ruby on Rails Developer Course,3.411764705882353,3.772941176470588,7.184705882352941,Udemy ,Not Available,Not Available,17,17
952806,Go: The Complete Developer's Guide (Golang),4.5,4.172,8.672,Udemy ,Not Available,Not Available,5,5
952864,Learn Git by Doing: A step-by-step guide to version control,4.236111111111111,4.039444444444445,8.275555555555556,Udemy ,Not Available,Not Available,36,36
953084,Git Complete Hands on Training for Web Developers,3.954545454545455,3.914545454545455,7.869090909090909,Udemy ,Not Available,Not Available,11,11
953128,iPhone App Programming for Noobs - UPDATED iOS 9 Swift 2,4.75,4.19,8.940000000000001,Udemy ,Not Available,Not Available,2,2
953892,Java In-Depth: Become a Complete Java Engineer!,4.642857142857143,4.265714285714286,8.90857142857143,Udemy ,Not Available,Not Available,7,7
953976,The Complete Android App Development,4.374509803921568,4.045490196078431,8.42,Udemy ,Not Available,Not Available,255,255
954456,Become a Visualization Expert Using TABLEAU,0.5,4.34,4.84,Udemy ,Not Available,Not Available,1,1
954710,In-Depth Software Testing Training Course From Scratch,4.535714285714286,4.2371428571428575,8.772857142857143,Udemy ,Not Available,Not Available,14,14
